station_id,total_rentals,avg_hourly_rentals,std_hourly_rentals,avg_weekday_rentals,avg_weekday_morning_rentals,avg_weekday_evening_rentals,avg_weekday_midday_rentals,avg_weekday_night_rentals,avg_weekend_rentals,avg_weekend_morning_rentals,avg_weekend_afternoon_rentals,max_hourly_rentals,peak_hour,weekday_weekend_ratio,morning_evening_ratio,cluster_label
31339,2598,1.9622356495468278,1.5023568741253022,2.026086956521739,2.776978417266187,2.0795847750865053,1.4484126984126984,1.2475247524752475,1.816831683168317,1.923913043478261,1.9941176470588236,14,8,1.1145624621254548,1.2951367897046382,2
31380,197,1.4071428571428573,0.6448069096001044,1.2421052631578948,1.0769230769230769,1.5,1.1538461538461537,1.6666666666666667,1.7555555555555555,1.4,1.7083333333333333,5,1,0.7071255214384878,0.7029053420805998,0
31381,104,1.1954022988505748,0.5020673646029037,1.1129032258064515,1.0,1.1111111111111112,1.125,1.2,1.4,1.3333333333333333,1.6666666666666667,4,2,0.7943634730952546,0.9713504974168481,0
31383,131,1.2242990654205608,0.7927550624003501,1.196969696969697,1.0,1.2941176470588236,1.2666666666666666,1.0,1.2682926829268293,1.1666666666666667,1.1578947368421053,8,14,0.9430210329501274,0.7557626905151783,3
31385,204,1.2670807453416149,0.6495937574280108,1.205128205128205,1.2173913043478262,1.5833333333333333,1.1363636363636365,1.0666666666666667,1.4318181818181819,1.1428571428571428,1.5909090909090908,5,17,0.8410894141494991,0.8044951164632383,3
31386,271,1.1531914893617021,0.4055444076718681,1.129496402877698,1.0588235294117647,1.1666666666666667,1.1395348837209303,1.0526315789473684,1.1875,1.1666666666666667,1.2325581395348837,3,7,0.9503545669984839,0.9574622967105433,0
31387,65,1.1206896551724137,0.42209112705697793,1.1515151515151516,1.0,1.2727272727272727,1.2,1.0,1.08,1.125,1.1,3,14,1.0652314075070783,0.9175808490681456,3
31389,213,1.283132530120482,0.5809749959900866,1.2935779816513762,1.24,1.3333333333333333,1.4193548387096775,1.1304347826086956,1.263157894736842,1.2916666666666667,1.105263157894737,4,12,1.023272478095514,0.9215006565605767,3
31390,1277,1.2643564356435644,0.5842471472939219,1.2308823529411765,1.145631067961165,1.2678571428571428,1.2355072463768115,1.2207792207792207,1.3333333333333333,1.2553191489361701,1.3773584905660377,6,2,0.9224699122716787,0.9301896393083029,0
31391,1301,1.266796494644596,0.6108966347192377,1.2844272844272844,1.2881355932203389,1.3464912280701755,1.2718446601941749,1.1111111111111112,1.212,1.1724137931034482,1.255639097744361,6,0,1.0588848181593442,0.9684484501258128,0
31392,2295,1.364447086801427,0.6757435527420179,1.3463098134630982,1.482598607888631,1.3522727272727273,1.2703412073490814,1.1464968152866242,1.4142538975501113,1.5178571428571428,1.446808510638298,6,8,0.9512850067352866,1.1104689852373348,0
31393,2283,1.395476772616137,0.7619091296108157,1.3840271877655055,1.3872340425531915,1.5045592705167172,1.3505882352941176,1.2446808510638299,1.4248366013071896,1.2461538461538462,1.543778801843318,7,3,0.9706772757107276,0.9159323858369701,0
31394,1283,1.2277511961722487,0.483239403587006,1.223738062755798,1.225,1.288659793814433,1.1924686192468619,1.17,1.2371794871794872,1.196969696969697,1.2416107382550337,5,23,0.988336566246477,0.9549476680124781,3
31395,1974,1.4009936124911284,0.7988088650873448,1.362475442043222,1.4883720930232558,1.3982683982683983,1.3257142857142856,1.1176470588235294,1.5012787723785166,1.3333333333333333,1.6722222222222223,7,8,0.9069391560968756,1.0184576386740951,0
31396,193,1.261437908496732,0.5592669289024856,1.2254901960784315,1.1428571428571428,1.3714285714285714,1.2173913043478262,1.0,1.3333333333333333,1.5454545454545454,1.24,4,5,0.9184288254397439,0.913438767552091,0
31397,29,1.1153846153846154,0.325812593608421,1.1875,1.25,1.2857142857142858,1.0,1.0,1.0,1.0,1.0,2,9,1.1863136863136865,0.9135548703894028,0
31398,147,1.105263157894737,0.33173460309402814,1.0808080808080809,1.0,1.1,1.098360655737705,1.0,1.1764705882352942,1.2,1.1176470588235294,3,3,0.9179066480360382,0.9770188182320209,0
31399,421,1.159779614325069,0.4095975061469993,1.139622641509434,1.1981981981981982,1.1111111111111112,1.098360655737705,1.0666666666666667,1.2142857142857142,1.1111111111111112,1.25,3,8,0.9377405067081273,1.017449195018137,0
31400,35784,1.8875408798396456,1.246956248988773,1.8863838623553841,1.9901192504258944,2.3594553706505295,1.727341200100427,1.5078196872125116,1.8903909389842894,1.7378238341968912,2.2588294651866803,15,18,0.9973527013766947,0.8545839546410096,2
31401,38505,2.013965165542131,1.3357969744311593,1.9969732762439096,2.170962479608483,2.4532820816085157,1.7546607009694257,1.638816644993498,2.055266463305222,1.9232192414431082,2.2830188679245285,11,17,0.9711646383776523,0.8855916255871291,2
31402,6298,1.2471287128712871,0.5795046009810679,1.2187326292384657,1.2190132370637785,1.2333333333333334,1.232212666145426,1.1590909090909092,1.3174931129476584,1.2398373983739837,1.3607038123167154,9,4,0.9243375010991408,0.9725752094312364,0
31403,7231,1.272167487684729,0.6167862557918574,1.2544092776032858,1.355475763016158,1.2912317327766178,1.2249488752556237,1.08,1.3197411003236246,1.1732283464566928,1.4134969325153375,10,8,0.9497768164373129,1.0186480215134301,0
31404,23057,1.7021260888823269,1.109743377152124,1.6596227193072879,1.7078804347826086,1.9421641791044777,1.5200264812975837,1.4129464285714286,1.8093628088426528,1.6279761904761905,2.0539443155452437,15,18,0.9167348728116375,0.8820246481981875,3
31405,5006,1.2159339324751033,0.5473309063066422,1.1873952396915857,1.199017199017199,1.2231884057971014,1.1975417032484637,1.0529411764705883,1.291005291005291,1.1793478260869565,1.3881932021466905,10,12,0.9190327996007589,0.9773436198773217,3
31406,12644,1.4314502434054115,0.7995939245080849,1.3882371591629676,1.4533410138248848,1.5108763206960845,1.328544061302682,1.176,1.5394059405940594,1.394686907020873,1.7129391602399315,11,18,0.9012151424367997,0.9518372516062834,3
31407,13410,1.4614210985178726,0.9177833186765182,1.372459429651804,1.3516260162601625,1.4465770953294945,1.3968668407310705,1.2326732673267327,1.6610109579356662,1.3781362007168458,1.89812734082397,14,11,0.8257824192425871,0.9066140491623103,3
31408,14973,1.5245901639344261,0.9236269313365525,1.561590296495957,1.2854996243425996,1.9300254452926209,1.4770114942528736,1.311329170383586,1.4102457309454395,1.2354651162790697,1.5177033492822967,9,17,1.1065332296522143,0.69821840624364,3
