station_id,station_name,latitude,longitude
31089,Court House Metro / 15th St & N Uhle St,38.890612,-77.084801
31090,Long Bridge Park / Long Bridge Dr & 6th St S,38.865553,-77.05003
31091,Joyce St & 16th St S,38.859254,-77.063275
31092,Langston Blvd & N Monroe St,38.896456,-77.104562
31093,21st St & N Pierce St,38.898984,-77.078317
31094,Langston Blvd & N Kirkwood Rd,38.895377,-77.09713
31095,Army Navy Dr & S Nash St,38.86215024521491,-77.06812083721161
31096,Columbia Pike & S Highland St,38.862398,-77.089133
31097,Saint Asaph St & Madison St,38.812718,-77.044097
31098,King St Metro North / Cameron St,38.80704,-77.059817
31099,Madison St & N Henry St,38.813485,-77.049468
31100,19th St & Pennsylvania Ave NW,38.9003,-77.0429
31101,14th & V St NW,38.9177645,-77.032096
31102,11th & Kenyon St NW,38.929464,-77.027822
31103,15th & Harvard St NW,38.92612422246211,-77.03542068600655
31104,Adams Mill & Columbia Rd NW,38.9228491613136,-77.04252451658249
31105,14th & Harvard St NW,38.9268,-77.0322
31106,Calvert & Biltmore St NW,38.923234,-77.0477675
31107,Lamont & Mt Pleasant NW,38.9319,-77.0388
31108,4th & M St SW,38.87682269362588,-77.01777443289757
31109,7th St & Florida Ave NW,38.91613684808331,-77.02200293540955
31110,20th St & Florida Ave NW,38.9154,-77.0446
31111,10th & U St NW,38.9172,-77.0259
31112,Harvard St & Adams Mill Rd NW,38.927872,-77.043358
31113,Columbia Rd & Belmont St NW,38.920669,-77.04368
31114,18th St & Wyoming Ave NW,38.918809,-77.041571
31115,Columbia Rd & Georgia Ave NW,38.92812111132096,-77.0237946510315
31116,California St & Florida Ave NW,38.917761,-77.04062
31117,15th & Euclid St NW,38.92333,-77.0352
31118,3rd & Elm St NW,38.917622,-77.01597
31119,14th & Belmont St NW,38.920806885,-77.031551242
31120,10th St & Florida Ave NW,38.920387,-77.025672
31121,Calvert St & Woodley Pl NW,38.923583,-77.050046
31122,16th & Irving St NW,38.928893,-77.03625
31123,14th & Girard St NW,38.925284,-77.032375
31124,14th & Irving St NW,38.928552,-77.032224
31125,15th & W St NW,38.9190185,-77.034449
31126,11th & Girard St NW,38.925196,-77.027127
31127,22nd & H St NW,38.89892546716842,-77.04885238395946
31128,23rd & M St NW,38.905303,-77.050264
31129,15th St & Pennsylvania Ave NW,38.89646474748647,-77.0333808660507
31130,7th & S St NW,38.914173639930105,-77.02159523963928
31131,14th & Otis Pl NW,38.934405,-77.032687
31132,13th & U St NW,38.91693645323652,-77.0296311378479
31133,20th & Columbia Rd NW,38.918036,-77.045487
31134,8th & V St NW,38.917716,-77.022684
31135,16th & Harvard St NW,38.926102,-77.03665
31136,11th & Clifton St NW,38.9223243445331,-77.02708572149277
31137,Park Pl & Rock Creek Church Rd NW,38.93713516763736,-77.01912492513657
31138,4th & College St NW,38.921129823,-77.018082619
31200,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444
31201,15th & P St NW,38.90980062655191,-77.03442692756653
31202,14th & R St NW,38.913046,-77.032008
31203,14th & Rhode Island Ave NW,38.9086,-77.0323
31204,20th & E St NW,38.8963,-77.045
31205,21st & I St NW,38.90071062547463,-77.04644858837128
31206,19th & E Street NW,38.895734,-77.043368
31207,Georgia Ave & Fairmont St NW,38.92478458526696,-77.02232748270035
31208,M St & New Jersey Ave SE,38.8762192324865,-77.00416892766953
31209,1st & N St  SE,38.87502273556,-77.00575411319733
31210,17th St & Rhode Island Ave NW,38.906767059408295,-77.03862726688385
31211,Kennedy Center,38.897293,-77.05557
31212,New Hampshire Ave & Ward Pl NW,38.90571079190728,-77.0473176240921
31213,17th & K St NW,38.90276,-77.03863
31214,17th & Corcoran St NW,38.9121,-77.0387
31215,Georgetown Harbor / 30th St NW,38.90226780126366,-77.05911666154861
31216,14th St & New York Ave NW,38.899632,-77.031686
31217,USDA / 12th & C St SW,38.88627694506511,-77.02824175357819
31218,L'Enfant Plaza / 7th & C St SW,38.886266,-77.022241
31219,10th St & Constitution Ave NW,38.893028,-77.026013
31220,US Dept of State / Virginia Ave & 21st St NW,38.8961140441491,-77.04661488533019
31221,18th & M St NW,38.90506687455313,-77.04177886247635
31222,New York Ave & 15th St NW,38.89903234416315,-77.03335404396057
31223,Convention Center / 7th & M St NW,38.905737,-77.02227
31224,18th & L St NW,38.90374145091938,-77.04245209693909
31225,C & O Canal & Wisconsin Ave NW,38.90375,-77.06269
31226,34th St & Wisconsin Ave NW,38.916442,-77.0682
31227,13th St & New York Ave NW,38.900283,-77.029822
31228,8th & H St NW,38.899782062,-77.022947788
31229,New Hampshire Ave & T St NW,38.915544,-77.038252
31230,Metro Center / 12th & G St NW,38.89832574246664,-77.02795878052711
31231,14th & D St NW / John A Wilson Building,38.894514,-77.031617
31232,7th & F St NW / National Portrait Gallery,38.89728304853854,-77.02219069004059
31233,17th & K St NW / Farragut Square,38.902061,-77.038322
31234,20th & O St NW / Dupont South,38.908905,-77.04478
31235,19th St & Constitution Ave NW,38.89221235271478,-77.04307436943054
31236,37th & O St NW / Georgetown University,38.907837,-77.07166
31237,25th St & Pennsylvania Ave NW,38.903827,-77.053485
31238,14th & G St NW,38.897978306,-77.032088518
31239,Rhode Island & Connecticut Ave NW,38.905995699991145,-77.03980207443237
31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657
31241,Thomas Circle,38.90574983333333,-77.03251783333333
31242,18th St & Pennsylvania Ave NW,38.89968,-77.041539
31243,4th & C St SW,38.88637194054526,-77.01770067214966
31244,4th & E St SW,38.88412,-77.017445
31245,7th & R St NW / Shaw Library,38.912719,-77.022155
31246,M St & Pennsylvania Ave NW,38.905126,-77.056887
31247,Jefferson Dr & 14th St SW,38.8885525,-77.032427
31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888774,-77.028694
31249,Jefferson Memorial,38.879819,-77.037413
31250,20th & L St NW,38.903584,-77.044789
31251,12th & L St NW,38.903819,-77.0284
31252,21st St & Pennsylvania Ave NW,38.901539,-77.046564
31253,19th & K St NW,38.901633245815496,-77.04338550567627
31254,15th & K St NW,38.902,-77.03353
31255,24th & N St NW,38.9066,-77.05152
31256,10th & E St NW,38.895914,-77.026064
31257,22nd & I St NW / Foggy Bottom,38.90088,-77.048911
31258,Lincoln Memorial,38.888255,-77.0494365
31259,20th St & Virginia Ave NW,38.894722,-77.045128
31260,23rd & E St NW ,38.896104,-77.049882
31261,21st St & Constitution Ave NW,38.894112,-77.044334
31262,11th & F St NW,38.897857,-77.026975
31263,10th & K St NW,38.9024,-77.02622
31264,6th St & Indiana Ave NW,38.894573,-77.01994
31265,5th St & Massachusetts Ave NW,38.90093,-77.018677
31266,11th & M St NW,38.9055785,-77.027313
31267,17th St & Massachusetts Ave NW,38.908142,-77.038359
31268,12th & U St NW,38.916787,-77.028139
31269,3rd St & Pennsylvania Ave SE,38.887378,-77.001955
31270,8th & D St NW,38.894851,-77.02324
31271,Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917
31272,Washington & Independence Ave SW/HHS,38.886978,-77.013769
31273,Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023
31274,10th & G St NW,38.89824328774852,-77.02623546123505
31275,New Hampshire Ave & 24th St NW,38.901755,-77.051084
31276,15th & L St NW,38.903649,-77.034918
31277,17th & G St NW,38.898301,-77.039643
31278,18th & R St NW,38.912648,-77.041834
31279,19th & G St NW,38.898412,-77.043182
31280,11th & S St NW,38.91360117514392,-77.02711522579193
31281,8th & O St NW,38.90864,-77.02277
31282,16th & R St NW,38.912652,-77.036278
31283,14th & L St NW,38.903658,-77.031737
31284,18th & C St NW,38.893511,-77.041544
31285,22nd & P ST NW,38.909394,-77.048728
31286,11th & O St NW,38.90843146089006,-77.02708840370178
31287,10th St & L'Enfant Plaza SW,38.88432272414662,-77.02601015567778
31288,4th St & Madison Dr NW,38.8904955,-77.0172465
31289,Henry Bacon Dr & Lincoln Memorial Circle NW,38.890539,-77.049383
31290,17th St & Independence Ave SW,38.888097,-77.038325
31291,Vermont Ave & I St NW,38.901136451737045,-77.03445106744766
31292,22nd St & Constitution Ave NW,38.892441,-77.048947
31293,31st & Water St NW,38.902826,-77.060173
31294,7th & E St SW,38.88345,-77.021741
31295,Potomac & M St NW,38.905509,-77.065246
31296,Columbia & Ontario Rd NW,38.924088,-77.040787
31297,Virginia Ave & 25th St NW,38.89846038350939,-77.05305218696594
31298,15th & M St NW,38.905424,-77.034674
31299,Connecticut Ave & R St NW,38.912644,-77.04564
31300,Van Ness Metro / UDC,38.944551,-77.063896
31301,Ward Circle / American University,38.938736,-77.087171
31302,Wisconsin Ave & Newark St NW,38.934881,-77.072755
31303,Tenleytown / Wisconsin Ave & Albemarle St NW,38.947607,-77.079382
31304,36th & Calvert St NW / Glover Park,38.922581,-77.070334
31305,Connecticut Ave & Newark St NW / Cleveland Park,38.93362634918731,-77.0575301349163
31306,39th & Calvert St NW / Stoddert,38.922649,-77.077271
31307,3000 Connecticut Ave NW / National Zoo,38.924373984,-77.051878572
31308,39th & Veazey St NW,38.943837,-77.077078
31309,Fessenden St & Wisconsin Ave NW,38.954812,-77.082426
31310,Connecticut & Nebraska Ave NW,38.955016,-77.069956
31311,13th & O St NW/ Logan Circle,38.908735,-77.029779
31312,Wisconsin Ave & O St NW,38.90849,-77.063586
31313,Connecticut Ave & Tilden St NW,38.94113915653008,-77.061977237463
31314,34th & Water St NW,38.9037315,-77.0675285
31315,Connecticut Ave & McKinley St NW,38.96454350924588,-77.07513481378555
31316,Yuma St & Tenley Circle NW,38.946182,-77.08059
31317,Wisconsin Ave & Ingomar St NW,38.958267,-77.084636
31318,Connecticut Ave & Yuma St NW,38.947156,-77.065115
31319,Wisconsin Ave & Brandywine St NW,38.949813,-77.080217
31320,American University East Campus,38.936298,-77.087128
31321,15th St & Constitution Ave NW,38.892244,-77.033234
31322,48th Pl & MacArthur Blvd NW,38.916561,-77.095513
31323,Woodley Park Metro / Calvert St & Connecticut Ave NW,38.923389,-77.051833
31324,18th & New Hampshire Ave NW,38.911268,-77.041829
31325,Reservoir Rd & 38th St NW,38.91261359469192,-77.07432264076488
31326,Hardy Rec Center,38.90970086204467,-77.08564639091492
31327,14th & Q St NW,38.910674,-77.03188
31328,21st St & G st NW,38.89830173667249,-77.04691261053085
31329,White House,38.89550865931313,-77.03792452812195
31330,17th & P St NW,38.909858,-77.038566
31331,Arizona & McArthur NW,38.927294,-77.103662
31332,11th & V st NW,38.918199,-77.027171
31333,Wisconsin Ave & Rodman St NW,38.93967417202165,-77.07527697086334
31334,Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,38.935839,-77.106913
31335,16th & K St NW/BLM Plaza,38.902677,-77.035866
31336,9th & N St NW ,38.906622,-77.023885
31337,33rd St & Wisconsin Ave NW,38.91219483333333,-77.0660925
31338,Connecticut Ave & Ordway St NW / Cleveland Park Metro ,38.935842,-77.058468
31339,18th St & Ingleside Ter NW,38.934784,-77.041362
31380,Roland Clarke Pl & Sunrise Valley Dr,38.949366,-77.350396
31381,Westbranch Dr & Maitland St,38.927943,-77.220829
31383,N Shore Dr & Bandit Loop,38.95937,-77.331794
