cluster,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,best_params,n_samples
0,0.529107391172604,0.5324823815912889,0.7600582361092799,0.7723172231691279,0.057247949746567106,0.04172473072301608,"{'max_depth': 7, 'learning_rate': 0.1, 'n_estimators': 100}",600749
1,2.5715155405980497,2.602150065357851,3.7373226909640076,3.7718845712651348,0.3536054265484003,0.33345244509054617,"{'max_depth': 7, 'learning_rate': 0.1, 'n_estimators': 100}",355770
2,1.1023236328244588,1.107894610340761,1.5648688683439145,1.5704451850304426,0.1702944491000935,0.1610165903089118,"{'max_depth': 7, 'learning_rate': 0.3, 'n_estimators': 100}",2033644
3,0.5832524027811504,0.5864541807196793,0.8408497345095849,0.8416635395587446,0.06840989702054812,0.05513952392425636,"{'max_depth': 7, 'learning_rate': 0.3, 'n_estimators': 100}",1200193
4,1.5593002434833572,1.5718868336414908,2.21373973498978,2.231762385857735,0.25695736199947594,0.2459058715721838,"{'max_depth': 7, 'learning_rate': 0.3, 'n_estimators': 100}",1633479
